feature	motif1	motif2	motif.type	feature_type
Zm00001d000567	1	0	motif1	gene
Zm00001d000585	1	1	both	gene
Zm00001d000599	1	0	motif1	gene
Zm00001d000601	1	0	motif1	gene
Zm00001d000604	1	0	motif1	gene
Zm00001d000612	0	1	motif2	gene
Zm00001d000619	0	1	motif2	gene
Zm00001d000625	1	0	motif1	gene
Zm00001d000679	0	1	motif2	gene
Zm00001d000693	0	1	motif2	gene
Zm00001d000694	0	1	motif2	gene
Zm00001d000695	0	1	motif2	gene
Zm00001d000704	1	0	motif1	gene
Zm00001d000711	1	2	both	gene
Zm00001d000712	1	0	motif1	gene
Zm00001d000736	1	0	motif1	gene
Zm00001d000747	1	0	motif1	gene
Zm00001d000748	1	0	motif1	gene
Zm00001d000751	0	1	motif2	gene
Zm00001d000759	1	0	motif1	gene
Zm00001d000776	0	1	motif2	gene
Zm00001d000787	0	2	motif2	gene
Zm00001d000788	2	1	both	gene
Zm00001d000800	1	0	motif1	gene
Zm00001d000806	4	5	both	gene
Zm00001d000809	2	3	both	gene
Zm00001d000816	0	1	motif2	gene
Zm00001d000827	1	0	motif1	gene
Zm00001d000829	2	0	motif1	gene
Zm00001d000830	2	0	motif1	gene
Zm00001d000852	1	0	motif1	gene
Zm00001d000854	1	0	motif1	gene
Zm00001d000867	1	1	both	gene
Zm00001d000876	1	0	motif1	gene
Zm00001d000893	0	1	motif2	gene
Zm00001d000895	1	0	motif1	gene
Zm00001d000903	2	0	motif1	gene
Zm00001d000904	2	0	motif1	gene
Zm00001d000905	2	0	motif1	gene
Zm00001d000908	0	1	motif2	gene
Zm00001d000927	0	1	motif2	gene
Zm00001d000935	1	0	motif1	gene
Zm00001d000940	1	0	motif1	gene
Zm00001d000942	2	6	both	gene
Zm00001d000943	1	3	both	gene
Zm00001d000944	1	0	motif1	gene
Zm00001d000946	2	0	motif1	gene
Zm00001d000980	0	1	motif2	gene
Zm00001d000982	1	0	motif1	gene
Zm00001d000990	0	1	motif2	gene
Zm00001d000992	1	0	motif1	gene
Zm00001d001010	4	17	both	gene
Zm00001d001016	0	1	motif2	gene
Zm00001d001022	1	0	motif1	gene
Zm00001d001023	1	0	motif1	gene
Zm00001d001028	1	0	motif1	gene
Zm00001d001038	1	0	motif1	gene
Zm00001d001040	1	0	motif1	gene
Zm00001d001042	0	1	motif2	gene
Zm00001d001055	1	0	motif1	gene
Zm00001d001056	1	0	motif1	gene
Zm00001d001079	1	0	motif1	gene
Zm00001d001089	0	1	motif2	gene
Zm00001d001119	0	1	motif2	gene
Zm00001d001125	1	0	motif1	gene
Zm00001d001127	1	0	motif1	gene
Zm00001d001143	0	1	motif2	gene
Zm00001d001176	0	1	motif2	gene
Zm00001d001186	1	0	motif1	gene
Zm00001d001198	2	1	both	gene
Zm00001d001205	0	1	motif2	gene
Zm00001d001238	0	1	motif2	gene
Zm00001d001252	0	1	motif2	gene
Zm00001d001265	0	1	motif2	gene
Zm00001d001270	1	0	motif1	gene
Zm00001d001274	0	1	motif2	gene
Zm00001d001275	1	0	motif1	gene
Zm00001d001289	0	1	motif2	gene
Zm00001d001313	2	1	both	gene
Zm00001d001331	1	0	motif1	gene
Zm00001d001335	1	1	both	gene
Zm00001d001339	0	1	motif2	gene
Zm00001d001356	0	1	motif2	gene
Zm00001d001364	1	1	both	gene
Zm00001d001367	1	0	motif1	gene
Zm00001d001373	1	1	both	gene
Zm00001d001384	1	0	motif1	gene
Zm00001d001387	1	0	motif1	gene
Zm00001d001389	1	1	both	gene
Zm00001d001393	0	2	motif2	gene
Zm00001d001404	0	1	motif2	gene
Zm00001d001411	1	0	motif1	gene
Zm00001d001429	1	0	motif1	gene
Zm00001d001459	1	0	motif1	gene
Zm00001d001479	1	0	motif1	gene
Zm00001d001482	0	1	motif2	gene
Zm00001d001483	0	1	motif2	gene
Zm00001d001493	1	0	motif1	gene
Zm00001d001500	2	0	motif1	gene
Zm00001d001502	1	0	motif1	gene
Zm00001d001513	0	1	motif2	gene
Zm00001d001520	0	1	motif2	gene
Zm00001d001524	0	1	motif2	gene
Zm00001d001537	0	1	motif2	gene
Zm00001d001557	1	0	motif1	gene
Zm00001d001561	0	2	motif2	gene
Zm00001d001571	6	15	both	gene
Zm00001d001572	5	3	both	gene
Zm00001d001574	1	0	motif1	gene
Zm00001d001579	1	0	motif1	gene
Zm00001d001604	0	1	motif2	gene
Zm00001d001607	1	0	motif1	gene
Zm00001d001621	1	0	motif1	gene
Zm00001d001625	0	1	motif2	gene
Zm00001d001626	0	1	motif2	gene
Zm00001d001628	0	1	motif2	gene
Zm00001d001654	0	1	motif2	gene
Zm00001d001655	1	0	motif1	gene
Zm00001d001657	1	1	both	gene
Zm00001d001658	1	3	both	gene
Zm00001d001664	1	0	motif1	gene
Zm00001d001672	0	2	motif2	gene
Zm00001d001688	0	1	motif2	gene
Zm00001d001700	0	1	motif2	gene
Zm00001d001706	1	0	motif1	gene
Zm00001d001709	0	1	motif2	gene
Zm00001d001714	0	2	motif2	gene
Zm00001d001733	1	0	motif1	gene
Zm00001d001749	0	1	motif2	gene
Zm00001d001760	0	1	motif2	gene
Zm00001d001770	0	1	motif2	gene
Zm00001d001784	1	0	motif1	gene
Zm00001d001785	1	1	both	gene
Zm00001d001787	1	1	both	gene
Zm00001d001791	0	2	motif2	gene
Zm00001d001792	1	0	motif1	gene
Zm00001d001797	1	1	both	gene
Zm00001d001803	1	0	motif1	gene
Zm00001d001804	1	1	both	gene
Zm00001d001806	2	0	motif1	gene
Zm00001d001809	0	1	motif2	gene
Zm00001d001811	1	0	motif1	gene
Zm00001d001814	1	0	motif1	gene
Zm00001d001819	1	0	motif1	gene
Zm00001d001825	0	2	motif2	gene
Zm00001d001830	0	1	motif2	gene
Zm00001d001836	0	2	motif2	gene
Zm00001d001838	0	2	motif2	gene
Zm00001d001841	1	0	motif1	gene
Zm00001d001844	2	0	motif1	gene
Zm00001d001846	2	1	both	gene
Zm00001d001848	2	6	both	gene
Zm00001d001850	2	1	both	gene
Zm00001d001851	0	1	motif2	gene
Zm00001d001855	2	2	both	gene
Zm00001d001859	1	2	both	gene
Zm00001d001861	2	0	motif1	gene
Zm00001d001864	0	1	motif2	gene
Zm00001d001866	1	1	both	gene
Zm00001d001870	2	0	motif1	gene
Zm00001d001879	1	0	motif1	gene
Zm00001d001881	2	0	motif1	gene
Zm00001d001882	0	1	motif2	gene
Zm00001d001884	1	0	motif1	gene
Zm00001d001887	2	0	motif1	gene
Zm00001d001895	1	0	motif1	gene
Zm00001d001897	1	0	motif1	gene
Zm00001d001898	0	1	motif2	gene
Zm00001d001906	0	1	motif2	gene
Zm00001d001908	0	4	motif2	gene
Zm00001d001909	1	1	both	gene
Zm00001d001910	0	3	motif2	gene
Zm00001d001914	1	0	motif1	gene
Zm00001d001918	2	0	motif1	gene
Zm00001d001923	0	1	motif2	gene
Zm00001d001927	1	0	motif1	gene
Zm00001d001928	2	1	both	gene
Zm00001d001929	2	0	motif1	gene
Zm00001d001932	0	1	motif2	gene
Zm00001d001933	1	0	motif1	gene
Zm00001d001940	1	0	motif1	gene
Zm00001d001941	0	1	motif2	gene
Zm00001d001944	0	1	motif2	gene
Zm00001d001945	0	2	motif2	gene
Zm00001d001946	0	1	motif2	gene
Zm00001d001947	1	2	both	gene
Zm00001d001952	1	1	both	gene
Zm00001d001953	0	1	motif2	gene
Zm00001d001962	1	0	motif1	gene
Zm00001d001968	2	0	motif1	gene
Zm00001d001970	1	1	both	gene
Zm00001d001973	2	0	motif1	gene
Zm00001d001974	1	2	both	gene
Zm00001d001978	2	4	both	gene
Zm00001d001979	0	1	motif2	gene
Zm00001d001980	1	1	both	gene
Zm00001d001983	4	0	motif1	gene
Zm00001d001993	1	1	both	gene
Zm00001d001995	0	1	motif2	gene
Zm00001d001996	1	0	motif1	gene
Zm00001d001999	1	0	motif1	gene
Zm00001d002000	1	0	motif1	gene
Zm00001d002001	0	1	motif2	gene
Zm00001d002003	0	1	motif2	gene
Zm00001d002006	0	1	motif2	gene
Zm00001d002020	0	1	motif2	gene
Zm00001d002022	1	0	motif1	gene
Zm00001d002024	1	2	both	gene
Zm00001d002025	2	0	motif1	gene
Zm00001d002026	0	2	motif2	gene
Zm00001d002029	1	2	both	gene
Zm00001d002032	2	2	both	gene
Zm00001d002034	2	0	motif1	gene
Zm00001d002040	2	3	both	gene
Zm00001d002043	2	0	motif1	gene
Zm00001d002044	1	0	motif1	gene
Zm00001d002046	1	1	both	gene
Zm00001d002051	1	0	motif1	gene
Zm00001d002052	0	1	motif2	gene
Zm00001d002053	1	1	both	gene
Zm00001d002054	0	1	motif2	gene
Zm00001d002058	1	0	motif1	gene
Zm00001d002068	1	2	both	gene
Zm00001d002082	2	1	both	gene
Zm00001d002086	0	1	motif2	gene
Zm00001d002087	2	0	motif1	gene
Zm00001d002089	0	1	motif2	gene
Zm00001d002090	1	0	motif1	gene
Zm00001d002091	1	0	motif1	gene
Zm00001d002095	0	1	motif2	gene
Zm00001d002099	3	0	motif1	gene
Zm00001d002103	1	0	motif1	gene
Zm00001d002113	1	0	motif1	gene
Zm00001d002115	1	0	motif1	gene
Zm00001d002119	0	1	motif2	gene
Zm00001d002125	0	2	motif2	gene
Zm00001d002126	0	1	motif2	gene
Zm00001d002129	1	2	both	gene
Zm00001d002140	1	1	both	gene
Zm00001d002144	0	1	motif2	gene
Zm00001d002147	0	1	motif2	gene
Zm00001d002148	0	1	motif2	gene
Zm00001d002153	0	1	motif2	gene
Zm00001d002166	0	3	motif2	gene
Zm00001d002169	1	4	both	gene
Zm00001d002172	1	1	both	gene
Zm00001d002174	0	1	motif2	gene
Zm00001d002175	0	1	motif2	gene
Zm00001d002176	0	1	motif2	gene
Zm00001d002179	1	0	motif1	gene
Zm00001d002181	1	0	motif1	gene
Zm00001d002182	1	0	motif1	gene
Zm00001d002184	1	1	both	gene
Zm00001d002185	1	0	motif1	gene
Zm00001d002186	1	1	both	gene
Zm00001d002192	1	0	motif1	gene
Zm00001d002193	1	0	motif1	gene
Zm00001d002195	1	1	both	gene
Zm00001d002205	1	0	motif1	gene
Zm00001d002208	0	1	motif2	gene
Zm00001d002211	1	0	motif1	gene
Zm00001d002214	0	1	motif2	gene
Zm00001d002216	2	1	both	gene
Zm00001d002221	0	1	motif2	gene
Zm00001d002225	1	0	motif1	gene
Zm00001d002228	0	1	motif2	gene
Zm00001d002231	1	0	motif1	gene
Zm00001d002232	1	0	motif1	gene
Zm00001d002235	2	1	both	gene
Zm00001d002239	1	2	both	gene
Zm00001d002242	3	2	both	gene
Zm00001d002243	0	1	motif2	gene
Zm00001d002244	2	0	motif1	gene
Zm00001d002250	0	1	motif2	gene
Zm00001d002252	0	2	motif2	gene
Zm00001d002257	1	3	both	gene
Zm00001d002261	1	0	motif1	gene
Zm00001d002271	0	1	motif2	gene
Zm00001d002272	2	0	motif1	gene
Zm00001d002274	0	1	motif2	gene
Zm00001d002275	1	2	both	gene
Zm00001d002276	1	0	motif1	gene
Zm00001d002278	0	2	motif2	gene
Zm00001d002280	0	3	motif2	gene
Zm00001d002283	1	0	motif1	gene
Zm00001d002284	0	1	motif2	gene
Zm00001d002296	1	1	both	gene
Zm00001d002299	0	1	motif2	gene
Zm00001d002305	0	2	motif2	gene
Zm00001d002309	0	1	motif2	gene
Zm00001d002312	0	2	motif2	gene
Zm00001d002313	1	3	both	gene
Zm00001d002316	1	1	both	gene
Zm00001d002317	1	0	motif1	gene
Zm00001d002319	1	1	both	gene
Zm00001d002320	0	2	motif2	gene
Zm00001d002323	1	0	motif1	gene
Zm00001d002324	1	0	motif1	gene
Zm00001d002325	1	2	both	gene
Zm00001d002326	2	0	motif1	gene
Zm00001d002330	0	2	motif2	gene
Zm00001d002332	1	0	motif1	gene
Zm00001d002334	0	1	motif2	gene
Zm00001d002340	0	2	motif2	gene
Zm00001d002343	1	1	both	gene
Zm00001d002349	1	1	both	gene
Zm00001d002351	1	1	both	gene
Zm00001d002353	1	0	motif1	gene
Zm00001d002357	1	0	motif1	gene
Zm00001d002359	1	1	both	gene
Zm00001d002362	1	0	motif1	gene
Zm00001d002366	1	0	motif1	gene
Zm00001d002371	0	1	motif2	gene
Zm00001d002372	0	2	motif2	gene
Zm00001d002377	1	1	both	gene
Zm00001d002379	0	1	motif2	gene
Zm00001d002380	1	1	both	gene
Zm00001d002382	1	1	both	gene
Zm00001d002383	0	1	motif2	gene
Zm00001d002386	1	0	motif1	gene
Zm00001d002387	1	1	both	gene
Zm00001d002388	1	0	motif1	gene
Zm00001d002390	1	2	both	gene
Zm00001d002391	0	1	motif2	gene
Zm00001d002392	1	1	both	gene
Zm00001d002396	2	5	both	gene
Zm00001d002397	0	1	motif2	gene
Zm00001d002399	0	2	motif2	gene
Zm00001d002400	0	1	motif2	gene
Zm00001d002402	0	1	motif2	gene
Zm00001d002408	1	0	motif1	gene
Zm00001d002413	1	0	motif1	gene
Zm00001d002415	1	1	both	gene
Zm00001d002418	2	3	both	gene
Zm00001d002421	1	0	motif1	gene
Zm00001d002424	0	1	motif2	gene
Zm00001d002431	1	0	motif1	gene
Zm00001d002433	0	1	motif2	gene
Zm00001d002437	0	1	motif2	gene
Zm00001d002440	1	0	motif1	gene
Zm00001d002441	3	0	motif1	gene
Zm00001d002444	1	1	both	gene
Zm00001d002447	0	1	motif2	gene
Zm00001d002454	1	0	motif1	gene
Zm00001d002457	1	1	both	gene
Zm00001d002462	2	1	both	gene
Zm00001d002463	1	0	motif1	gene
Zm00001d002475	2	1	both	gene
Zm00001d002478	0	1	motif2	gene
Zm00001d002481	0	1	motif2	gene
Zm00001d002496	1	0	motif1	gene
Zm00001d002497	2	1	both	gene
Zm00001d002499	1	3	both	gene
Zm00001d002501	1	4	both	gene
Zm00001d002503	0	1	motif2	gene
Zm00001d002504	2	0	motif1	gene
Zm00001d002510	2	2	both	gene
Zm00001d002511	1	0	motif1	gene
Zm00001d002530	0	1	motif2	gene
Zm00001d002538	2	0	motif1	gene
Zm00001d002541	0	1	motif2	gene
Zm00001d002544	1	1	both	gene
Zm00001d002545	0	1	motif2	gene
Zm00001d002550	0	1	motif2	gene
Zm00001d002555	0	1	motif2	gene
Zm00001d002560	2	0	motif1	gene
Zm00001d002566	1	0	motif1	gene
Zm00001d002572	1	0	motif1	gene
Zm00001d002577	2	0	motif1	gene
Zm00001d002580	0	3	motif2	gene
Zm00001d002585	4	1	both	gene
Zm00001d002591	0	1	motif2	gene
Zm00001d002593	1	0	motif1	gene
Zm00001d002595	0	1	motif2	gene
Zm00001d002598	1	2	both	gene
Zm00001d002599	0	1	motif2	gene
Zm00001d002600	1	1	both	gene
Zm00001d002602	0	1	motif2	gene
Zm00001d002603	1	1	both	gene
Zm00001d002608	3	2	both	gene
Zm00001d002611	0	1	motif2	gene
Zm00001d002614	1	0	motif1	gene
Zm00001d002617	1	6	both	gene
Zm00001d002621	1	1	both	gene
Zm00001d002625	2	0	motif1	gene
Zm00001d002628	1	0	motif1	gene
Zm00001d002634	1	0	motif1	gene
Zm00001d002635	1	0	motif1	gene
Zm00001d002639	1	0	motif1	gene
Zm00001d002640	3	1	both	gene
Zm00001d002641	0	1	motif2	gene
Zm00001d002644	3	2	both	gene
Zm00001d002647	1	2	both	gene
Zm00001d002649	0	2	motif2	gene
Zm00001d002650	2	1	both	gene
Zm00001d002654	1	1	both	gene
Zm00001d002655	3	2	both	gene
Zm00001d002656	2	7	both	gene
Zm00001d002658	3	1	both	gene
Zm00001d002659	0	1	motif2	gene
Zm00001d002663	1	0	motif1	gene
Zm00001d002666	0	1	motif2	gene
Zm00001d002668	1	1	both	gene
Zm00001d002669	1	1	both	gene
Zm00001d002676	1	2	both	gene
Zm00001d002682	3	0	motif1	gene
Zm00001d002688	2	1	both	gene
Zm00001d002693	0	1	motif2	gene
Zm00001d002695	0	2	motif2	gene
Zm00001d002705	2	0	motif1	gene
Zm00001d002706	1	2	both	gene
Zm00001d002708	1	1	both	gene
Zm00001d002711	0	2	motif2	gene
Zm00001d002713	1	0	motif1	gene
Zm00001d002715	0	1	motif2	gene
Zm00001d002725	0	1	motif2	gene
Zm00001d002737	0	4	motif2	gene
Zm00001d002742	1	0	motif1	gene
Zm00001d002743	1	0	motif1	gene
Zm00001d002751	0	2	motif2	gene
Zm00001d002753	3	0	motif1	gene
Zm00001d002755	0	2	motif2	gene
Zm00001d002769	2	2	both	gene
Zm00001d002770	2	2	both	gene
Zm00001d002775	0	1	motif2	gene
Zm00001d002777	1	1	both	gene
Zm00001d002778	1	2	both	gene
Zm00001d002781	0	2	motif2	gene
Zm00001d002784	0	1	motif2	gene
Zm00001d002788	0	2	motif2	gene
Zm00001d002791	0	1	motif2	gene
Zm00001d002794	1	0	motif1	gene
Zm00001d002796	0	1	motif2	gene
Zm00001d002797	1	0	motif1	gene
Zm00001d002799	0	1	motif2	gene
Zm00001d002801	0	1	motif2	gene
Zm00001d002805	0	2	motif2	gene
Zm00001d002806	1	1	both	gene
Zm00001d002809	0	2	motif2	gene
Zm00001d002810	1	0	motif1	gene
Zm00001d002814	1	2	both	gene
Zm00001d002817	1	1	both	gene
Zm00001d002819	1	1	both	gene
Zm00001d002822	0	2	motif2	gene
Zm00001d002823	0	1	motif2	gene
Zm00001d002824	1	1	both	gene
Zm00001d002827	2	4	both	gene
Zm00001d002828	1	0	motif1	gene
Zm00001d002829	1	0	motif1	gene
Zm00001d002830	1	0	motif1	gene
Zm00001d002835	0	2	motif2	gene
Zm00001d002847	1	0	motif1	gene
Zm00001d002850	1	0	motif1	gene
Zm00001d002852	3	2	both	gene
Zm00001d002854	1	0	motif1	gene
Zm00001d002856	0	1	motif2	gene
Zm00001d002857	1	0	motif1	gene
Zm00001d002859	1	1	both	gene
Zm00001d002862	1	0	motif1	gene
Zm00001d002863	1	0	motif1	gene
Zm00001d002865	1	2	both	gene
Zm00001d002866	0	3	motif2	gene
Zm00001d002873	1	0	motif1	gene
Zm00001d002874	1	0	motif1	gene
Zm00001d002876	1	1	both	gene
Zm00001d002878	1	1	both	gene
Zm00001d002887	1	0	motif1	gene
Zm00001d002891	1	0	motif1	gene
Zm00001d002902	1	0	motif1	gene
Zm00001d002905	0	3	motif2	gene
Zm00001d002907	0	1	motif2	gene
Zm00001d002915	0	1	motif2	gene
Zm00001d002917	0	2	motif2	gene
Zm00001d002919	0	2	motif2	gene
Zm00001d002922	2	2	both	gene
Zm00001d002925	1	2	both	gene
Zm00001d002933	0	1	motif2	gene
Zm00001d002936	4	0	motif1	gene
Zm00001d002938	0	2	motif2	gene
Zm00001d002943	1	0	motif1	gene
Zm00001d002945	2	0	motif1	gene
Zm00001d002953	0	1	motif2	gene
Zm00001d002954	1	1	both	gene
Zm00001d002956	2	0	motif1	gene
Zm00001d002961	0	1	motif2	gene
Zm00001d002962	2	2	both	gene
Zm00001d002966	0	1	motif2	gene
Zm00001d002972	2	1	both	gene
Zm00001d002973	0	1	motif2	gene
Zm00001d002978	0	2	motif2	gene
Zm00001d002987	1	1	both	gene
Zm00001d002988	0	3	motif2	gene
Zm00001d002989	0	1	motif2	gene
Zm00001d002991	2	1	both	gene
Zm00001d002992	1	0	motif1	gene
Zm00001d003012	0	2	motif2	gene
Zm00001d003013	0	1	motif2	gene
Zm00001d003014	1	2	both	gene
Zm00001d003017	1	3	both	gene
Zm00001d003025	1	0	motif1	gene
Zm00001d003027	0	1	motif2	gene
Zm00001d003031	2	1	both	gene
Zm00001d003033	0	1	motif2	gene
Zm00001d003034	1	0	motif1	gene
Zm00001d003037	0	1	motif2	gene
Zm00001d003038	0	1	motif2	gene
Zm00001d003040	0	1	motif2	gene
Zm00001d003043	0	1	motif2	gene
Zm00001d003045	1	0	motif1	gene
Zm00001d003046	1	1	both	gene
Zm00001d003048	0	2	motif2	gene
Zm00001d003058	1	1	both	gene
Zm00001d003059	2	0	motif1	gene
Zm00001d003062	0	1	motif2	gene
Zm00001d003066	2	0	motif1	gene
Zm00001d003075	3	0	motif1	gene
Zm00001d003076	1	0	motif1	gene
Zm00001d003081	0	1	motif2	gene
Zm00001d003082	2	0	motif1	gene
Zm00001d003083	1	0	motif1	gene
Zm00001d003087	3	4	both	gene
Zm00001d003089	0	1	motif2	gene
Zm00001d003090	0	1	motif2	gene
Zm00001d003092	1	0	motif1	gene
Zm00001d003093	2	0	motif1	gene
Zm00001d003098	2	0	motif1	gene
Zm00001d003099	0	1	motif2	gene
Zm00001d003101	1	0	motif1	gene
Zm00001d003106	1	0	motif1	gene
Zm00001d003108	1	0	motif1	gene
Zm00001d003112	2	0	motif1	gene
Zm00001d003114	0	3	motif2	gene
Zm00001d003115	0	1	motif2	gene
Zm00001d003116	0	2	motif2	gene
Zm00001d003118	1	1	both	gene
Zm00001d003123	0	1	motif2	gene
Zm00001d003124	0	1	motif2	gene
Zm00001d003129	0	1	motif2	gene
Zm00001d003134	0	1	motif2	gene
Zm00001d003145	0	1	motif2	gene
Zm00001d003146	0	2	motif2	gene
Zm00001d003147	1	0	motif1	gene
Zm00001d003149	1	0	motif1	gene
Zm00001d003150	0	1	motif2	gene
Zm00001d003152	0	1	motif2	gene
Zm00001d003154	0	1	motif2	gene
Zm00001d003159	1	0	motif1	gene
Zm00001d003166	2	1	both	gene
Zm00001d003168	1	0	motif1	gene
Zm00001d003180	1	1	both	gene
Zm00001d003192	2	0	motif1	gene
Zm00001d003194	0	1	motif2	gene
Zm00001d003196	1	0	motif1	gene
Zm00001d003198	6	9	both	gene
Zm00001d003200	0	2	motif2	gene
Zm00001d003202	0	2	motif2	gene
Zm00001d003203	1	3	both	gene
Zm00001d003207	2	2	both	gene
Zm00001d003222	0	1	motif2	gene
Zm00001d003224	2	0	motif1	gene
Zm00001d003226	1	0	motif1	gene
Zm00001d003227	1	0	motif1	gene
Zm00001d003229	1	1	both	gene
Zm00001d003246	1	3	both	gene
Zm00001d003247	1	2	both	gene
Zm00001d003248	1	0	motif1	gene
Zm00001d003250	0	1	motif2	gene
Zm00001d003251	0	1	motif2	gene
Zm00001d003252	0	1	motif2	gene
Zm00001d003255	1	0	motif1	gene
Zm00001d003256	1	1	both	gene
Zm00001d003258	1	0	motif1	gene
Zm00001d003259	2	1	both	gene
Zm00001d003262	0	1	motif2	gene
Zm00001d003265	4	0	motif1	gene
Zm00001d003266	1	2	both	gene
Zm00001d003267	0	2	motif2	gene
Zm00001d003271	1	0	motif1	gene
Zm00001d003278	0	4	motif2	gene
