feature	filter.imprint.BW	syntelog.BW	imprinted.both.BW	filter.imprint.BP	syntelog.BP	feature_type	imprint	syntelog	agreement	expression.type	motif1	motif2	motif.type	either.motif	imprint.syntelog	syntenic.grasses	has.go.term
DHH00001Zm00001d09494	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d09610	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d09984	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d10663	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d10722	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00025	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00096	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00109	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00133	MEG	na.te	na.te	not.detected	NA	TE	matTE	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d00214	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d00263	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00287	MEG	na.te	na.te	not.detected	NA	TE	matTE	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d00363	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00365	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00366	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00383	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00389	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00421	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00427	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00480	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00507	no.imprint	na.te	na.te	MEG	na.te	TE	matTE	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d00595	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00628	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00631	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00634	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00650	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00660	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00700	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00843	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00893	MEG	na.te	na.te	not.detected	NA	TE	matTE	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d00915	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d00938	MEG	na.te	na.te	no.imprint	na.te	TE	matTE	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d00986	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01007	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01012	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01042	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01095	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01097	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01151	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	endo.preferred	FALSE	TRUE	motif2	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d01158	MEG	na.te	na.te	no.imprint	na.te	TE	matTE	variable	mismatched_call	endo.preferred	TRUE	TRUE	both	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d01159	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01224	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01250	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d01432	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d01497	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01578	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01604	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01626	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01678	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d01702	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01796	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01827	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01828	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01862	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01879	not.detected	NA	NA	MEG	na.te	TE	matTE	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d01921	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01936	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d01939	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d02011	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02044	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02187	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02226	no.imprint	na.te	na.te	MEG	na.te	TE	matTE	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d02275	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02276	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02285	MEG	na.te	na.te	no.imprint	na.te	TE	matTE	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d02313	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02327	MEG	na.te	na.te	not.detected	NA	TE	matTE	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d02342	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02369	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02379	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02382	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02389	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02419	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02512	MEG	na.te	na.te	no.imprint	na.te	TE	matTE	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d02518	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02558	not.detected	NA	NA	MEG	na.te	TE	matTE	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d02620	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02687	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	endo.preferred	FALSE	TRUE	motif2	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d02691	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02726	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02761	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02829	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02836	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02887	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d02929	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d02961	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03036	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03067	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03077	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03085	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03096	MEG	na.te	na.te	no.imprint	na.te	TE	matTE	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d03104	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03158	MEG	na.te	na.te	not.detected	NA	TE	matTE	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d03182	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03253	not.detected	NA	NA	MEG	na.te	TE	matTE	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d03273	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03304	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03585	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03654	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03670	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03699	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03733	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03835	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d03931	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d04002	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d04010	no.imprint	na.te	na.te	MEG	na.te	TE	matTE	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d04034	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d04036	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d04038	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d04064	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d04065	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	matTE_variable	NA.TE	NA
DHH00002Zm00001d04118	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00002Zm00001d04125	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
