gene	TE
Zm00001d028739	RLC19015Zm00001d00001
Zm00001d028740	RLC19015Zm00001d00001
Zm00001d028741	RLC19015Zm00001d00001
Zm00001d028739	DHH00002Zm00001d00520
Zm00001d028740	RLG00017Zm00001d00575
Zm00001d028741	RLG00017Zm00001d00575
Zm00001d028741	RLX02942Zm00001d00002
Zm00001d028747	DTT13272Zm00001d00002
Zm00001d028760	RLG00003Zm00001d00773
Zm00001d028788	DHH00002Zm00001d06230
Zm00001d028789	DHH00002Zm00001d06230
Zm00001d028791	DHH00002Zm00001d06230
Zm00001d028794	DHH00002Zm00001d00528
Zm00001d028795	DHH00002Zm00001d00528
Zm00001d028815	RLX15262Zm00001d00001
Zm00001d028822	RLX20743Zm00001d00001
Zm00001d028822	DHH02284Zm00001d00001
Zm00001d028839	DHH00002Zm00001d00531
Zm00001d028845	RLX15255Zm00001d00001
Zm00001d028849	RLX15255Zm00001d00001
Zm00001d028850	RLX15254Zm00001d00001
Zm00001d028856	RIT00001Zm00001d00022
Zm00001d028865	DHH00002Zm00001d00536
Zm00001d028871	DHH00002Zm00001d00538
Zm00001d028872	DHH00002Zm00001d00538
Zm00001d028881	DHH00002Zm00001d00541
Zm00001d029018	DHH00002Zm00001d06244
Zm00001d029042	DHH00002Zm00001d06247
Zm00001d029060	RLC00030Zm00001d00332
Zm00001d029092	DHH00002Zm00001d00556
Zm00001d029101	DHH00003Zm00001d02820
Zm00001d029103	DHH00002Zm00001d00558
Zm00001d029111	RLX17694Zm00001d00001
Zm00001d029112	RLX17694Zm00001d00001
Zm00001d029114	RLX17694Zm00001d00001
Zm00001d029114	DHH00002Zm00001d00560
Zm00001d029117	RLX17796Zm00001d00001
Zm00001d029154	RLG00003Zm00001d00843
Zm00001d029159	RLX15191Zm00001d00001
Zm00001d029181	RLC00002Zm00001d10491
Zm00001d029205	DHH00002Zm00001d06265
Zm00001d029216	RLX14021Zm00001dS0002
Zm00001d029224	DHH00002Zm00001d00576
Zm00001d029229	DHH00002Zm00001d00577
Zm00001d029230	DHH00002Zm00001d00577
Zm00001d029237	DHH00002Zm00001d00579
Zm00001d029250	RLC00013Zm00001d00837
Zm00001d029250	DHH00002Zm00001d06269
Zm00001d029252	DHH00002Zm00001d00580
Zm00001d029316	DHH00002Zm00001d06273
Zm00001d029318	RLX18368Zm00001d00001
Zm00001d029318	RLX03228Zm00001d00002
Zm00001d029338	DHH00002Zm00001d06275
Zm00001d029357	RLX17794Zm00001d00001
Zm00001d029358	RLX17794Zm00001d00001
Zm00001d029357	RLC00063Zm00001d00045
Zm00001d029358	RLC00063Zm00001d00045
Zm00001d029357	RLX15160Zm00001d00001
Zm00001d029360	RLX20727Zm00001d00001
Zm00001d029362	DHH00002Zm00001d06279
Zm00001d029431	DHH00002Zm00001d06283
Zm00001d029458	RLX24647Zm00001d00001
Zm00001d029459	RLC00002Zm00001d10513
Zm00001d029466	DHH00002Zm00001d00597
Zm00001d029467	DHH00002Zm00001d00597
Zm00001d029480	RLC00004Zm00001d11069
Zm00001d029481	RLC00004Zm00001d11069
Zm00001d029503	RLC00013Zm00001d00838
Zm00001d029503	DHH00002Zm00001d06293
Zm00001d029511	RLC00282Zm00001d00007
Zm00001d029511	RLC03441Zm00001d00002
Zm00001d029511	RLG00001Zm00001d01268
Zm00001d029519	RLX19011Zm00001d00001
Zm00001d029520	RLX19011Zm00001d00001
Zm00001d029574	DHH00002Zm00001d00607
Zm00001d029575	DHH00002Zm00001d00607
Zm00001d029580	RLX17860Zm00001d00001
Zm00001d029581	RLX17860Zm00001d00001
Zm00001d029592	DHH00002Zm00001d06298
Zm00001d029593	DHH00002Zm00001d06298
Zm00001d029605	DHH00002Zm00001d06301
Zm00001d029609	RLC00761Zm00001d00003
Zm00001d029609	RLX20718Zm00001d00001
Zm00001d029643	DHH00002Zm00001d00617
Zm00001d029644	DHH00002Zm00001d00617
Zm00001d029672	DHH00002Zm00001d06312
Zm00001d029682	DHH02234Zm00001d00001
Zm00001d029697	RLC00150Zm00001d00021
Zm00001d029699	RLC00150Zm00001d00021
Zm00001d029700	RLC00150Zm00001d00021
Zm00001d029699	DHH00002Zm00001d00621
Zm00001d029703	RLG16870Zm00001d00001
Zm00001d029704	RLG16870Zm00001d00001
Zm00001d029705	RLG16870Zm00001d00001
Zm00001d029706	RLG16870Zm00001d00001
Zm00001d029705	DHH00002Zm00001d00623
Zm00001d029710	RLX24626Zm00001d00001
Zm00001d029732	DHH00002Zm00001d00626
Zm00001d029737	DHH00002Zm00001d06319
Zm00001d029741	RLC02931Zm00001d00002
Zm00001d029742	DHH00001Zm00001d06681
Zm00001d029743	DHH00001Zm00001d06681
Zm00001d029755	DHH00002Zm00001d00631
Zm00001d029756	DHH00002Zm00001d00631
Zm00001d029769	RLC00002Zm00001d13531
Zm00001d029771	DHH00002Zm00001d00634
Zm00001d029800	RLG24617Zm00001d00001
Zm00001d029799	RLG24617Zm00001d00001
Zm00001d029812	RLC02622Zm00001d00002
Zm00001d029828	RLC19005Zm00001d00001
Zm00001d029828	RLC00002Zm00001d13536
Zm00001d029836	DHH00002Zm00001d00642
Zm00001d029837	DHH00002Zm00001d00642
Zm00001d029838	DHH00002Zm00001d00642
Zm00001d029874	DHH00002Zm00001d00648
Zm00001d029881	DHH00002Zm00001d06328
Zm00001d029883	DHH00002Zm00001d00650
Zm00001d029893	RLG00400Zm00001d00001
Zm00001d029895	DHH00002Zm00001d00651
Zm00001d029908	RLG19003Zm00001d00001
Zm00001d029909	RLG19003Zm00001d00001
Zm00001d029908	RLG00039Zm00001d00209
Zm00001d029909	RLG00039Zm00001d00209
Zm00001d029916	DTH12996Zm00001d01712
Zm00001d029916	DHH00002Zm00001d00652
Zm00001d029927	RLG20703Zm00001d00001
Zm00001d029929	DHH00002Zm00001d00654
Zm00001d029954	DHH00002Zm00001d06337
Zm00001d029958	DHH00002Zm00001d00655
Zm00001d029959	DHH00002Zm00001d00655
Zm00001d029967	RLG00001Zm00001d15177
Zm00001d029967	RLC00004Zm00001d09057
Zm00001d029967	DHH00003Zm00001d00355
Zm00001d029986	RLX03360Zm00001d00001
Zm00001d029987	DHH00002Zm00001d00660
Zm00001d029994	RLG02552Zm00001d00002
Zm00001d029995	RLG02552Zm00001d00002
Zm00001d030001	DHH00002Zm00001d00666
Zm00001d030006	RLG14982Zm00001d00001
Zm00001d030008	RLX17691Zm00001d00001
Zm00001d030008	DHH00008Zm00001d00070
Zm00001d030030	DHH00002Zm00001d00668
Zm00001d030067	DHH00008Zm00001d00072
Zm00001d030072	DHH00002Zm00001d00672
Zm00001d030073	DHH00002Zm00001d00673
Zm00001d030088	RLX14945Zm00001d00001
Zm00001d030096	DHH00001Zm00001d00722
Zm00001d030102	RLC00002Zm00001d10582
Zm00001d030114	RLX20689Zm00001d00001
Zm00001d030127	RLC17591Zm00001d00001
Zm00001d030136	RLX17489Zm00001d00001
Zm00001d030134	RLX17489Zm00001d00001
Zm00001d030136	DHH00002Zm00001d00681
Zm00001d030147	DHH00002Zm00001d06363
Zm00001d030150	DHH00001Zm00001d06739
Zm00001d030151	DHH00001Zm00001d06739
Zm00001d030154	RLG00010Zm00001d01123
Zm00001d030161	RLG00001Zm00001d15956
Zm00001d030162	RLG00001Zm00001d15956
Zm00001d030161	RLC00029Zm00001d00358
Zm00001d030162	RLC00029Zm00001d00358
Zm00001d030183	RLG20686Zm00001d00001
Zm00001d030182	RLG20686Zm00001d00001
Zm00001d030189	RLG00006Zm00001d02993
Zm00001d030198	RLG00003Zm00001d12614
Zm00001d030198	RLG00003Zm00001d12385
Zm00001d030198	RLC00002Zm00001d13549
Zm00001d030240	DHH00002Zm00001d00687
Zm00001d030255	DHH00002Zm00001d00689
Zm00001d030262	RLX24556Zm00001d00001
Zm00001d030264	RLG00001Zm00001d12961
Zm00001d030274	RLX24554Zm00001d00001
Zm00001d030275	RLX20680Zm00001d00001
Zm00001d030276	RLX20680Zm00001d00001
Zm00001d030277	RLX20680Zm00001d00001
Zm00001d030275	RLX14854Zm00001d00001
Zm00001d030276	RLX24553Zm00001d00001
Zm00001d030279	RLG00003Zm00001d11550
Zm00001d030279	RLG00001Zm00001d12969
Zm00001d030280	RLX20678Zm00001d00001
Zm00001d030281	RLX20678Zm00001d00001
Zm00001d030280	RLG24551Zm00001d00001
Zm00001d030281	RLG24551Zm00001d00001
Zm00001d030289	RLG24549Zm00001d00001
Zm00001d030287	RLG24549Zm00001d00001
Zm00001d030289	RLX14845Zm00001d00001
Zm00001d030296	DHH00020Zm00001d00103
Zm00001d030297	DTT12283Zm00001d00414
Zm00001d030297	DHH00002Zm00001d00697
Zm00001d030300	DHH00002Zm00001d06380
Zm00001d030308	DHH02538Zm00001d00001
Zm00001d030333	RLG00008Zm00001d02982
Zm00001d030334	RLG00008Zm00001d02982
Zm00001d030350	DHH00002Zm00001d00706
Zm00001d030351	DHH00002Zm00001d00706
Zm00001d030353	RLC02151Zm00001d00001
Zm00001d030362	RLG00750Zm00001d00005
Zm00001d030362	RLG00006Zm00001d03008
Zm00001d030370	RLG00001Zm00001d01678
Zm00001d030374	RLC04362Zm00001d00001
Zm00001d030375	RLC04362Zm00001d00001
Zm00001d030376	RLC04362Zm00001d00001
Zm00001d030374	DHH00002Zm00001d00709
Zm00001d030375	DHH00002Zm00001d00709
Zm00001d030376	DHH00002Zm00001d00709
Zm00001d030382	RLG24524Zm00001d00001
Zm00001d030393	RLX20665Zm00001d00001
Zm00001d030395	RLX17120Zm00001d00001
Zm00001d030396	RLX17120Zm00001d00001
Zm00001d030396	DHH00002Zm00001d06386
Zm00001d030399	RLG00010Zm00001d01259
Zm00001d030400	RLG00010Zm00001d01259
Zm00001d030399	RLX18362Zm00001d00001
Zm00001d030400	RLX18362Zm00001d00001
Zm00001d030402	RLG00006Zm00001d03015
Zm00001d030406	RLG00001Zm00001d16014
Zm00001d030406	RLC00004Zm00001d11926
Zm00001d030406	RLG00902Zm00001d00004
Zm00001d030407	RLX24516Zm00001d00001
Zm00001d030412	DHH00002Zm00001d00713
Zm00001d030414	RLX14771Zm00001d00001
Zm00001d030419	RLG01399Zm00001d00003
Zm00001d030420	RLG01399Zm00001d00003
Zm00001d030429	RLG00043Zm00001d00150
Zm00001d030429	DHH00002Zm00001d06392
Zm00001d030446	RLG00001Zm00001d16116
Zm00001d030459	RLG03189Zm00001d00002
Zm00001d030459	RLG00047Zm00001d00006
Zm00001d030465	RLG00001Zm00001d16088
Zm00001d030465	DHH00002Zm00001d06395
Zm00001d030501	RLG00110Zm00001d00034
Zm00001d030502	RLG00110Zm00001d00034
Zm00001d030503	RLG00110Zm00001d00034
Zm00001d030501	RLG03197Zm00001d00002
Zm00001d030502	RLG03197Zm00001d00002
Zm00001d030503	RLG03197Zm00001d00002
Zm00001d030515	RLX03330Zm00001d00002
Zm00001d030531	RLC00067Zm00001d00012
Zm00001d030553	DHH00002Zm00001d00726
Zm00001d030559	RLC00063Zm00001d00036
Zm00001d030574	DHH00002Zm00001d06405
Zm00001d030583	RLG02026Zm00001d00001
Zm00001d030602	RLG20650Zm00001d00001
Zm00001d030603	RLG24465Zm00001d00001
Zm00001d030604	RLG00663Zm00001d00006
Zm00001d030604	RLG20649Zm00001d00001
Zm00001d030612	RLX03173Zm00001d00002
Zm00001d030631	RLX18984Zm00001d00001
Zm00001d030663	RLG04775Zm00001d00001
Zm00001d030669	RLG00028Zm00001d00275
Zm00001d030672	RLG00175Zm00001d00023
Zm00001d030672	DHH00002Zm00001d00739
Zm00001d030679	RLC00002Zm00001d10615
Zm00001d030680	RLC00002Zm00001d10615
Zm00001d030681	DHH00002Zm00001d06417
Zm00001d030686	DHH00002Zm00001d06419
Zm00001d030685	DHH00002Zm00001d06419
Zm00001d030695	RLX20645Zm00001d00001
Zm00001d030695	RLG00001Zm00001d13048
Zm00001d030695	DHH00009Zm00001d00608
Zm00001d030697	DHH00002Zm00001d06420
Zm00001d030710	RLG17520Zm00001d00001
Zm00001d030709	RLG17520Zm00001d00001
Zm00001d030710	DHH00002Zm00001d00745
Zm00001d030711	DHH00002Zm00001d00746
Zm00001d030724	DHH00002Zm00001d00748
Zm00001d030726	DHH00001Zm00001d06879
Zm00001d030753	DHH00002Zm00001d00750
Zm00001d030752	DHH00002Zm00001d00750
Zm00001d030756	DHH00002Zm00001d06426
Zm00001d030761	RLG00003Zm00001d12687
Zm00001d030777	RLX17450Zm00001d00001
Zm00001d030806	RLG00043Zm00001d00075
Zm00001d030809	RLX20639Zm00001d00001
Zm00001d030811	DHH00001Zm00001d06897
Zm00001d030812	RLX01207Zm00001d00003
Zm00001d030829	RLC00002Zm00001d01477
Zm00001d030847	DHH00002Zm00001d06433
Zm00001d030848	DHH00002Zm00001d06433
Zm00001d030875	DHH00002Zm00001d00762
Zm00001d030879	DHH00002Zm00001d00764
Zm00001d030899	RLG00011Zm00001d01261
Zm00001d030906	RLC00002Zm00001d14616
Zm00001d030906	RLC00004Zm00001d11089
Zm00001d030906	RLG00006Zm00001d00435
Zm00001d030919	DHH00002Zm00001d06443
Zm00001d030921	RLX20630Zm00001d00001
Zm00001d030923	RLX20630Zm00001d00001
Zm00001d030924	RLX20630Zm00001d00001
Zm00001d030926	RLX20630Zm00001d00001
Zm00001d030923	RLX24423Zm00001d00001
Zm00001d030924	RLX24423Zm00001d00001
Zm00001d030926	RLX24423Zm00001d00001
Zm00001d030930	RLG00089Zm00001d00036
Zm00001d030930	RLX24422Zm00001d00001
Zm00001d030930	RLX14569Zm00001d00001
Zm00001d030932	RLX24421Zm00001d00001
Zm00001d030933	RLX24421Zm00001d00001
Zm00001d030933	RLX14568Zm00001d00001
Zm00001d030959	DHH00001Zm00001d06914
Zm00001d030965	RLC00195Zm00001d00003
Zm00001d030973	DHH00002Zm00001d06451
Zm00001d030974	DHH00002Zm00001d06451
Zm00001d030980	RLG00005Zm00001d03438
Zm00001d030980	RLG14555Zm00001d00001
Zm00001d030984	RLC00019Zm00001d00513
Zm00001d030991	DHH00001Zm00001d00990
Zm00001d030992	DHH00002Zm00001d06454
Zm00001d031000	DHH00002Zm00001d06456
Zm00001d031031	RLX18978Zm00001d00001
Zm00001d031033	RLG14537Zm00001d00001
Zm00001d031034	RLX24401Zm00001d00001
Zm00001d031035	RLG00005Zm00001d00543
Zm00001d031035	DHH00002Zm00001d06459
Zm00001d031051	DHH00002Zm00001d06461
Zm00001d031055	DHH00002Zm00001d06463
Zm00001d031093	DHH00002Zm00001d00788
Zm00001d031102	RLC00025Zm00001d00338
Zm00001d031126	DHH00002Zm00001d06474
Zm00001d031137	DHH00002Zm00001d00797
Zm00001d031138	RLX20615Zm00001d00001
Zm00001d031139	RLX18102Zm00001d00001
Zm00001d031150	DHH00002Zm00001d00799
Zm00001d031153	DHH00002Zm00001d00800
Zm00001d031157	DHH02475Zm00001d00001
Zm00001d031218	DHH00002Zm00001d00811
Zm00001d031233	DHH00002Zm00001d06489
Zm00001d031299	DHH00001Zm00001d06954
Zm00001d031306	RLG00012Zm00001d00051
Zm00001d031306	RLG00003Zm00001d01309
Zm00001d031333	RLC00002Zm00001d13574
Zm00001d031334	RLG00001Zm00001d15216
Zm00001d031334	RLG00003Zm00001d08644
Zm00001d031334	RLX14467Zm00001d00001
Zm00001d031336	RLG00507Zm00001d00005
Zm00001d031337	RLG00507Zm00001d00005
Zm00001d031342	RLC00030Zm00001d00268
Zm00001d031346	RLG20611Zm00001d00001
Zm00001d031362	RLX03092Zm00001d00002
Zm00001d031370	RLC00002Zm00001d15179
Zm00001d031372	DHH00005Zm00001d00295
Zm00001d031373	DHH00005Zm00001d00295
Zm00001d031375	DHH00005Zm00001d00295
Zm00001d031391	RLC00014Zm00001d00963
Zm00001d031391	RLG00003Zm00001d08650
Zm00001d031392	RLG00003Zm00001d12800
Zm00001d031400	RLG18973Zm00001d00001
Zm00001d031411	DHH02461Zm00001d00001
Zm00001d031455	DHH00002Zm00001d00831
Zm00001d031482	RLG00005Zm00001d03447
Zm00001d031483	RLG00005Zm00001d03447
Zm00001d031492	RLC00097Zm00001d00029
Zm00001d031493	RLC00097Zm00001d00029
Zm00001d031492	DHH00002Zm00001d00833
Zm00001d031493	DHH00002Zm00001d00833
Zm00001d031513	RLG24379Zm00001d00001
Zm00001d031518	DHH00002Zm00001d00836
Zm00001d031519	DHH00002Zm00001d00837
Zm00001d031547	DHH00002Zm00001d06520
Zm00001d031548	DHH00002Zm00001d06520
Zm00001d031558	DHH00002Zm00001d06521
Zm00001d031574	DHH00002Zm00001d06524
Zm00001d031576	RLG00003Zm00001d01344
Zm00001d031583	RLC00076Zm00001d00041
Zm00001d031583	RLG00008Zm00001d00396
Zm00001d031606	DHH00002Zm00001d06529
Zm00001d031615	DHH00002Zm00001d00841
Zm00001d031616	DHH00002Zm00001d00841
Zm00001d031656	DHH00002Zm00001d06538
Zm00001d031685	DHH00002Zm00001d00843
Zm00001d031699	DHH00002Zm00001d00845
Zm00001d031709	RLX24368Zm00001d00001
Zm00001d031713	DHH00002Zm00001d00848
Zm00001d031733	RLX04399Zm00001d00001
Zm00001d031734	RLX04399Zm00001d00001
Zm00001d031735	DHH00002Zm00001d06546
Zm00001d031754	DHH00002Zm00001d06548
Zm00001d031767	DTH00050Zm00001d00013
Zm00001d031771	RLX24364Zm00001d00001
Zm00001d031772	RLX24364Zm00001d00001
Zm00001d031785	RLC00493Zm00001d00004
Zm00001d031830	DHH00002Zm00001d00855
Zm00001d031846	RLG00006Zm00001d03065
Zm00001d031859	DHH00002Zm00001d00861
Zm00001d031890	DHH00002Zm00001d00866
Zm00001d031932	RLG00001Zm00001d15222
Zm00001d031932	RLG00003Zm00001d08696
Zm00001d031951	RLC00049Zm00001d00112
Zm00001d031952	RLC00049Zm00001d00112
Zm00001d031951	RLC00335Zm00001d00011
Zm00001d031952	RLC00335Zm00001d00011
Zm00001d031951	RLC00002Zm00001d10730
Zm00001d031952	RLC00002Zm00001d10730
Zm00001d031976	DHH00181Zm00001d00001
Zm00001d031987	RLX20604Zm00001d00001
Zm00001d032016	DHH00002Zm00001d00875
Zm00001d032050	DHH00002Zm00001d00879
Zm00001d032051	DHH00002Zm00001d00879
Zm00001d032052	DHH00002Zm00001d00879
Zm00001d032085	DHH00002Zm00001d06579
Zm00001d032087	RLC00002Zm00001d14629
Zm00001d032087	RLC00004Zm00001d11104
Zm00001d032089	DHH00002Zm00001d00886
Zm00001d032093	DHH00002Zm00001d00888
Zm00001d032105	DHH00002Zm00001d06580
Zm00001d032106	DHH00002Zm00001d06580
Zm00001d032117	DHH00002Zm00001d00890
Zm00001d032126	RLC00195Zm00001d00004
Zm00001d032125	RLC00195Zm00001d00004
Zm00001d032126	DHH00002Zm00001d00892
Zm00001d032125	DHH00002Zm00001d00892
Zm00001d032131	RLX14323Zm00001d00001
Zm00001d032150	DHH00002Zm00001d00894
Zm00001d032189	DHH00002Zm00001d00898
Zm00001d032210	DHH00002Zm00001d00901
Zm00001d032214	RLC00002Zm00001d15090
Zm00001d032299	DHH00002Zm00001d00916
Zm00001d032315	DHH00002Zm00001d00920
Zm00001d032325	RLG01007Zm00001d00002
Zm00001d032330	RLX14282Zm00001d00001
Zm00001d032371	DHH00002Zm00001d00933
Zm00001d032378	DHH00002Zm00001d06600
Zm00001d032387	DHH00003Zm00001d00476
Zm00001d032391	RLX24330Zm00001d00001
Zm00001d032391	DHH00003Zm00001d00477
Zm00001d032403	DHH00002Zm00001d06604
Zm00001d032444	RLX17223Zm00001d00001
Zm00001d032445	RLX17223Zm00001d00001
Zm00001d032446	RLX17223Zm00001d00001
Zm00001d032483	DHH00002Zm00001d00945
Zm00001d032484	DHH00002Zm00001d00945
Zm00001d032509	RLG00005Zm00001d04015
Zm00001d032511	DHH00001Zm00001d01142
Zm00001d032528	RLC00105Zm00001d00003
Zm00001d032537	DHH00002Zm00001d06612
Zm00001d032541	DHH00002Zm00001d06613
Zm00001d032562	DHH00002Zm00001d06615
Zm00001d032563	DHH00108Zm00001d00006
Zm00001d032564	DHH00108Zm00001d00006
Zm00001d032577	DHH00002Zm00001d06617
Zm00001d032590	DHH00002Zm00001d00954
Zm00001d032629	RLX14243Zm00001d00001
Zm00001d032631	DHH00008Zm00001d00107
Zm00001d032634	DHH00002Zm00001d00956
Zm00001d032639	RLC01695Zm00001d00003
Zm00001d032639	RIL00004Zm00001d00021
Zm00001d032677	DHH00002Zm00001d06627
Zm00001d032678	DHH00002Zm00001d06627
Zm00001d032714	DHH00002Zm00001d00964
Zm00001d032729	DHH00002Zm00001d00965
Zm00001d032733	DHH00002Zm00001d06635
Zm00001d032742	DHH00002Zm00001d00967
Zm00001d032755	RLC00019Zm00001d00515
Zm00001d032756	RLC00019Zm00001d00515
Zm00001d032757	RLC00019Zm00001d00515
Zm00001d032755	DHH00002Zm00001d00969
Zm00001d032756	DHH00002Zm00001d00969
Zm00001d032757	DHH00002Zm00001d00969
Zm00001d032772	DHH00002Zm00001d00973
Zm00001d032783	DHH00002Zm00001d00975
Zm00001d032813	RLG00001Zm00001d15234
Zm00001d032826	DHH00002Zm00001d00980
Zm00001d032827	DHH00002Zm00001d00980
Zm00001d032835	DHH00002Zm00001d06643
Zm00001d032874	DHH00002Zm00001d06646
Zm00001d032885	RLX18100Zm00001d00001
Zm00001d032946	RLX14192Zm00001d00001
Zm00001d032967	DHH00002Zm00001d06654
Zm00001d032975	DHH00002Zm00001d00998
Zm00001d032986	RLX18959Zm00001d00001
Zm00001d032986	DHH00002Zm00001d06656
Zm00001d033009	DHH02378Zm00001d00001
Zm00001d033013	RLX14179Zm00001d00001
Zm00001d033015	RLX14179Zm00001d00001
Zm00001d033022	RLX14021Zm00001dS0005
Zm00001d033032	RLC00023Zm00001d00491
Zm00001d033033	RLC00023Zm00001d00491
Zm00001d033032	RLC00063Zm00001d00007
Zm00001d033033	RLC00063Zm00001d00007
Zm00001d033070	DHH00002Zm00001d01006
Zm00001d033078	DHH00002Zm00001d01007
Zm00001d033100	RLC00004Zm00001d12030
